"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 08:39:08 GMT 2025","Thu Aug 21 08:39:12 GMT 2025","4082","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Aug 21 08:38:53 GMT 2025","Thu Aug 21 08:38:54 GMT 2025","1720","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 21 08:39:04 GMT 2025","Thu Aug 21 08:39:05 GMT 2025","1319","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Aug 21 08:38:59 GMT 2025","Thu Aug 21 08:39:00 GMT 2025","1249","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Aug 21 08:38:52 GMT 2025","Thu Aug 21 08:38:58 GMT 2025","6081","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Aug 21 08:38:50 GMT 2025","Thu Aug 21 08:38:52 GMT 2025","1948","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 21 08:39:06 GMT 2025","Thu Aug 21 08:39:07 GMT 2025","1361","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Aug 21 08:39:05 GMT 2025","Thu Aug 21 08:39:08 GMT 2025","2373","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 21 08:39:12 GMT 2025","Thu Aug 21 08:39:17 GMT 2025","4808","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Aug 21 08:38:40 GMT 2025","Thu Aug 21 08:38:42 GMT 2025","1654","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 21 08:38:43 GMT 2025","Thu Aug 21 08:38:44 GMT 2025","1182","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 21 08:38:50 GMT 2025","Thu Aug 21 08:38:52 GMT 2025","1708","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 21 08:39:13 GMT 2025","Thu Aug 21 08:39:15 GMT 2025","1996","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 21 08:39:00 GMT 2025","Thu Aug 21 08:39:02 GMT 2025","1643","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Aug 21 08:39:18 GMT 2025","Thu Aug 21 08:39:20 GMT 2025","2058","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Aug 21 08:39:08 GMT 2025","Thu Aug 21 08:39:11 GMT 2025","3271","LMS system","Courses","Courses","","","Create course",""
"passed","Thu Aug 21 08:39:01 GMT 2025","Thu Aug 21 08:39:03 GMT 2025","1864","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Aug 21 08:38:40 GMT 2025","Thu Aug 21 08:38:42 GMT 2025","1671","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Aug 21 08:38:59 GMT 2025","Thu Aug 21 08:39:01 GMT 2025","1398","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Aug 21 08:38:55 GMT 2025","Thu Aug 21 08:38:58 GMT 2025","3615","LMS system","Authentication","Authorization","","","User login with correct email and password",""
